1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
396	-0.515177	25.775523	0.362063	0.019149	2.2
397	-0.508853	25.421688	0.364823	0.031459	1.6
398	-0.493600	25.083941	0.367497	0.035397	1.7
399	-0.504396	26.073998	0.359768	0.016023	1.8
400	-0.506880	27.073481	0.352288	0.025714	1.6
401	-0.537174	27.691202	0.347819	0.034382	1.7
402	-0.512812	27.337248	0.350365	0.009548	1.5
403	-0.495959	27.000290	0.352825	0.023647	2.4
404	-0.504091	27.445445	0.349583	0.036463	2.0
405	-0.522913	27.091526	0.352156	0.028957	1.6
406	-0.524102	26.737720	0.354766	0.029933	1.5
407	-0.518961	26.383845	0.357415	0.033144	2.3
408	-0.498018	27.383845	0.350028	0.042857	1.8
409	-0.508798	28.383696	0.342941	0.032065	1.7
410	-0.511023	28.029723	0.345417	0.022298	1.7
411	-0.506141	27.678631	0.347908	0.031139	2.5
412	-0.551912	27.324701	0.350456	0.027579	2.3
413	-0.534669	26.970727	0.353042	0.023791	1.6
414	-0.500871	27.074611	0.352280	0.025860	1.8
415	-0.483996	27.994839	0.345663	0.017363	1.5
416	-0.511917	28.994451	0.338752	0.036151	1.7
417	-0.529404	29.739532	0.333777	0.020377	1.8
418	-0.500629	29.387236	0.336111	0.019368	1.6
419	-0.505480	30.382154	0.329603	0.019079	2.3
420	-0.510990	31.208030	0.324389	0.019167	2.0
421	-0.481069	31.082147	0.325173	0.022831	1.9
422	-0.503001	31.576972	0.322113	0.027221	1.6
423	-0.504869	32.565232	0.316170	0.013997	1.5
424	-0.523034	32.330281	0.317563	0.019036	1.7
425	-0.531631	33.096096	0.313067	0.010587	2.9
426	-0.518785	33.585018	0.310263	0.023486	2.1
427	-0.497692	33.268900	0.312070	0.021897	2.0
428	-0.505317	33.991343	0.307970	0.037030	1.9
429	-0.518654	33.637371	0.309966	0.016199	1.9
430	-0.502143	33.283519	0.311986	0.022666	1.7
431	-0.518359	34.168875	0.306979	0.024982	1.7
432	-0.516522	35.162390	0.301549	0.038434	1.8
433	-0.494949	34.879307	0.303076	0.019155	1.5
434	-0.523438	34.525483	0.305008	0.018821	2.9
435	-0.521539	34.812038	0.303442	0.022944	1.9
436	-0.522829	34.465737	0.305336	0.029263	1.5
437	-0.512948	34.111898	0.307297	0.041453	1.5
438	-0.514125	35.111898	0.301820	0.028131	1.6
439	-0.494811	34.780032	0.303616	0.049152	2.7
440	-0.496782	34.513096	0.305076	0.024876	1.7
441	-0.555472	34.159378	0.307032	0.042788	1.8
442	-0.515046	33.805404	0.309015	0.024615	2.3
443	-0.484784	33.451431	0.311024	0.036647	1.9
444	-0.521553	34.422897	0.305572	0.021372	1.6
445	-0.516303	35.397351	0.300292	0.022616	1.6
446	-0.533884	35.291709	0.300856	0.037522	2.3
447	-0.506104	35.138857	0.301675	0.025485	1.9
448	-0.523709	34.784884	0.303589	0.027636	2.2
449	-0.482239	35.223381	0.301222	0.028209	2.6
450	-0.530951	35.702486	0.298677	0.014919	1.9
451	-0.483423	35.351506	0.300537	0.024156	2.4
452	-0.518156	34.999666	0.302425	0.023750	2.8
453	-0.514634	35.968424	0.297282	0.024546	4.1
454	-0.491812	36.831136	0.292847	0.026886	2.6
455	-0.516310	36.486507	0.294603	0.047715	2.2
456	-0.513881	36.132539	0.296428	0.033466	2.7
457	-0.527278	35.798971	0.298169	0.023427	2.2
458	-0.505146	35.450313	0.300011	0.049679	2.8
459	-0.523359	35.183195	0.301437	0.015696	1.6
460	-0.489085	36.055710	0.296827	0.030646	1.8
461	-0.536869	35.771809	0.298312	0.023502	1.7
462	-0.517369	36.769899	0.293158	0.025166	2.2
463	-0.520469	36.447419	0.294804	0.020971	1.8
464	-0.528095	37.206167	0.290961	0.022364	2.2
465	-0.504929	36.852231	0.292741	0.032773	3.5
466	-0.522958	36.498301	0.294543	0.043508	2.3
467	-0.541050	37.419441	0.289898	0.018823	2.4
468	-0.527880	37.410139	0.289945	0.024861	1.9
469	-0.535661	38.066434	0.286723	0.019489	1.6
470	-0.520948	37.737495	0.288329	0.033056	2.0
471	-0.497295	37.387769	0.290056	0.028544	2.4
472	-0.523630	38.387752	0.285172	0.021904	1.7
473	-0.522453	38.105068	0.286536	0.023373	1.6
474	-0.523190	37.756717	0.288234	0.037926	2.0
475	-0.504925	38.756688	0.283411	0.019251	2.1
476	-0.559809	38.402732	0.285100	0.025420	2.1
477	-0.523856	38.422399	0.285005	0.030777	2.4
478	-0.518046	38.068429	0.286713	0.017629	2.7
479	-0.543841	37.714484	0.288442	0.029766	2.6
480	-0.509240	37.368203	0.290153	0.020058	2.5
481	-0.525606	38.354694	0.285330	0.017626	2.0
482	-0.519910	38.817938	0.283121	0.014090	2.2
483	-0.533548	38.652630	0.283905	0.027964	2.5
484	-0.519055	39.594354	0.279493	0.017863	2.4
485	-0.497834	39.246920	0.281105	0.033315	2.2
486	-0.536378	38.893380	0.282764	0.030063	3.5
487	-0.527957	38.539406	0.284445	0.018374	2.4
488	-0.498812	39.519235	0.279840	0.009736	2.7
489	-0.522243	39.421662	0.280292	0.037416	2.9
490	-0.502363	40.026844	0.277512	0.032987	2.3
491	-0.514399	39.673538	0.279128	0.027578	2.5
492	-0.513687	40.578596	0.275026	0.025743	1.8
493	-0.538151	41.451717	0.271181	0.041423	2.1
494	-0.532546	41.097745	0.272727	0.020728	1.7
495	-0.504848	41.107538	0.272684	0.042893	1.6
496	-0.538297	42.105464	0.268371	0.038350	1.9
497	-0.511555	43.105464	0.264185	0.025510	1.6
498	-0.536761	43.435959	0.262830	0.039395	2.2
499	-0.532143	43.289409	0.263429	0.025084	1.8
